user_id,first_name,last_name,email,mobile,role,enterprise_id,city,country,preferred_language,primary_domain_interest,current_level,career_goal,learning_style,profile_completion_pct,ai_personalization_score,created_at
USR000001,Kiara,Patil,kiara.patil1@kaasdemo.ai,+917927283698,Trainer,,Dubai,India,Hindi,Data Science,Intermediate,Business Analyst,Reading,59,87,2026-03-16
USR000002,Ayaan,Chavan,ayaan.chavan2@kaasdemo.ai,+918783204262,Learner,ENT00384,Singapore,India,French,Healthcare,Advanced,Team Leader,Mixed,89,33,2024-10-30
USR000003,Sneha,Gupta,sneha.gupta3@kaasdemo.ai,+919293085064,Learner,ENT00337,London,Singapore,Kannada,Cloud,Advanced,Product Manager,Audio,87,75,2025-04-09
USR000004,Meera,Rao,meera.rao4@kaasdemo.ai,+918091304489,Learner,ENT00393,Chennai,Singapore,Bengali,Healthcare,Expert,AI Engineer,Mixed,39,56,2026-01-13
USR000005,Aarav,Mishra,aarav.mishra5@kaasdemo.ai,+918289924514,Learner,,Hyderabad,UAE,Kannada,AI,Beginner,Cybersecurity Analyst,Social,100,91,2025-12-18
USR000006,Anjali,Chavan,anjali.chavan6@kaasdemo.ai,+917594458674,Learner,ENT00183,Delhi,UK,French,Cloud,Intermediate,Digital Marketer,Audio,73,31,2025-12-18
USR000007,Myra,Chavan,myra.chavan7@kaasdemo.ai,+918394541743,Mentor,,Kuala Lumpur,Singapore,Marathi,HR,Expert,Data Analyst,Social,73,24,2025-12-24
USR000008,Myra,Andre,myra.andre8@kaasdemo.ai,+918494348846,Corporate Admin,,Kolkata,Malaysia,Hindi,Full Stack,Intermediate,AI Engineer,Mixed,83,26,2025-03-21
USR000009,Kiara,Patil,kiara.patil9@kaasdemo.ai,+919996893560,Learner,ENT00168,Hyderabad,India,English,Healthcare,Expert,Team Leader,Social,99,31,2024-12-26
USR000010,Sara,Kulkarni,sara.kulkarni10@kaasdemo.ai,+919043780174,Corporate Admin,ENT00173,London,India,Arabic,Data Science,Expert,Cybersecurity Analyst,Visual,86,84,2025-07-31
USR000011,Amit,Khan,amit.khan11@kaasdemo.ai,+918697881328,Trainer,ENT00102,New York,UAE,Arabic,Finance,Intermediate,Digital Marketer,Visual,69,75,2025-04-09
USR000012,Priya,Chavan,priya.chavan12@kaasdemo.ai,+918568812602,Learner,,Chennai,UAE,Kannada,Leadership,Advanced,AI Engineer,Audio,56,64,2026-02-03
USR000013,Karan,Nair,karan.nair13@kaasdemo.ai,+918002830207,Learner,ENT00474,Hyderabad,UK,Marathi,Quality Management,Beginner,Data Analyst,Mixed,41,51,2026-02-07
USR000014,Anjali,Khan,anjali.khan14@kaasdemo.ai,+918474339313,HR Manager,,Singapore,India,Telugu,AI,Expert,Team Leader,Visual,77,46,2025-11-14
USR000015,Reyansh,Mehta,reyansh.mehta15@kaasdemo.ai,+919074582277,Learner,,London,India,English,Healthcare,Expert,AI Engineer,Audio,56,27,2025-02-27
USR000016,Reyansh,Reddy,reyansh.reddy16@kaasdemo.ai,+917286035346,Learner,ENT00484,Kolkata,USA,Kannada,AI,Beginner,AI Engineer,Audio,84,49,2025-06-06
USR000017,Kiara,Iyer,kiara.iyer17@kaasdemo.ai,+917378045890,Mentor,ENT00306,Bengaluru,UAE,Arabic,Healthcare,Expert,AI Engineer,Visual,66,87,2025-03-21
USR000018,Anaya,Jain,anaya.jain18@kaasdemo.ai,+918511455193,Learner,ENT00178,Chennai,USA,Tamil,Governance,Advanced,AI Engineer,Mixed,67,69,2024-06-12
USR000019,Riya,Joshi,riya.joshi19@kaasdemo.ai,+917589530134,Learner,ENT00202,Mumbai,Malaysia,Arabic,Governance,Intermediate,Business Analyst,Reading,54,74,2025-03-28
USR000020,Anjali,Reddy,anjali.reddy20@kaasdemo.ai,+917595181663,Learner,ENT00106,London,UAE,Marathi,Governance,Advanced,Cloud Architect,Hands-on,53,92,2024-10-21
USR000021,Anaya,Andre,anaya.andre21@kaasdemo.ai,+917790854733,Learner,,Chennai,India,English,Data Science,Advanced,Business Analyst,Hands-on,73,76,2026-02-24
USR000022,Anjali,Joshi,anjali.joshi22@kaasdemo.ai,+917112520487,Learner,ENT00068,Kuala Lumpur,USA,French,Cloud,Intermediate,Digital Marketer,Reading,38,65,2024-08-02
USR000023,Neha,Jain,neha.jain23@kaasdemo.ai,+919789875688,Learner,,Chennai,India,Gujarati,Finance,Expert,Team Leader,Reading,55,44,2024-12-30
USR000024,Vivaan,Singh,vivaan.singh24@kaasdemo.ai,+917955863041,Trainer,ENT00139,Singapore,UAE,Tamil,Leadership,Beginner,Cloud Architect,Hands-on,97,61,2025-08-24
USR000025,Nikhil,Rao,nikhil.rao25@kaasdemo.ai,+918633694617,Learner,,Singapore,UK,Gujarati,Manufacturing,Beginner,Data Analyst,Hands-on,93,25,2025-01-19
USR000026,Kiara,Verma,kiara.verma26@kaasdemo.ai,+918663861118,Learner,,Dubai,India,Tamil,Healthcare,Advanced,Team Leader,Hands-on,73,56,2025-08-28
USR000027,Sai,Singh,sai.singh27@kaasdemo.ai,+919220367731,Learner,,Bengaluru,Singapore,Bengali,HR,Beginner,Data Analyst,Reading,52,70,2025-07-10
USR000028,Anaya,Nair,anaya.nair28@kaasdemo.ai,+917867291356,Learner,ENT00460,Ahmedabad,India,Telugu,HR,Advanced,Cloud Architect,Mixed,50,31,2024-09-06
USR000029,Neha,Nair,neha.nair29@kaasdemo.ai,+919197590676,Learner,ENT00363,London,India,Gujarati,Leadership,Expert,AI Engineer,Reading,77,92,2026-03-19
USR000030,Pooja,Khan,pooja.khan30@kaasdemo.ai,+917220376885,Learner,ENT00394,Kolkata,USA,Telugu,HR,Expert,Cybersecurity Analyst,Mixed,58,35,2024-09-24
USR000031,Reyansh,Sharma,reyansh.sharma31@kaasdemo.ai,+919141652101,Learner,ENT00235,Dubai,India,French,Finance,Expert,Digital Marketer,Reading,95,78,2025-07-06
USR000032,Ira,Andre,ira.andre32@kaasdemo.ai,+918194485961,Learner,ENT00452,London,UAE,English,Healthcare,Intermediate,Cloud Architect,Visual,79,24,2024-10-08
USR000033,Pooja,Patil,pooja.patil33@kaasdemo.ai,+918422111278,Learner,,Mumbai,India,Hindi,Digital Marketing,Expert,Cloud Architect,Reading,71,98,2026-03-20
USR000034,Neha,Reddy,neha.reddy34@kaasdemo.ai,+919486641280,Learner,ENT00495,Chennai,India,Hindi,Finance,Advanced,Product Manager,Audio,83,28,2025-07-24
USR000035,Karan,Verma,karan.verma35@kaasdemo.ai,+918178618666,Learner,ENT00063,Chennai,Malaysia,Arabic,HR,Intermediate,Digital Marketer,Social,42,33,2025-12-19
USR000036,Rohan,Mishra,rohan.mishra36@kaasdemo.ai,+918233460089,Community Moderator,ENT00353,Kolkata,UK,Telugu,Manufacturing,Advanced,Cloud Architect,Social,98,86,2026-02-19
USR000037,Aadhya,Jain,aadhya.jain37@kaasdemo.ai,+918247636714,Corporate Admin,,Hyderabad,India,Hindi,Cybersecurity,Beginner,Team Leader,Mixed,50,46,2026-02-02
USR000038,Sara,Singh,sara.singh38@kaasdemo.ai,+917911984483,Learner,ENT00413,Pune,UAE,Telugu,Governance,Advanced,Data Analyst,Audio,73,84,2025-11-27
USR000039,Anaya,Sharma,anaya.sharma39@kaasdemo.ai,+919443499414,Learner,ENT00203,London,India,Marathi,HR,Intermediate,Product Manager,Audio,96,80,2024-06-18
USR000040,Rahul,Khan,rahul.khan40@kaasdemo.ai,+919306258033,Learner,ENT00457,Chennai,Singapore,Gujarati,Quality Management,Beginner,Cybersecurity Analyst,Social,75,91,2025-11-12
USR000041,Aarav,Mehta,aarav.mehta41@kaasdemo.ai,+918518681304,Learner,ENT00470,Mumbai,India,Telugu,Project Management,Beginner,Product Manager,Hands-on,56,93,2026-01-23
USR000042,Myra,Gupta,myra.gupta42@kaasdemo.ai,+918324058623,Learner,,Singapore,UK,English,Sales,Advanced,Business Analyst,Visual,98,50,2025-05-28
USR000043,Ira,Kulkarni,ira.kulkarni43@kaasdemo.ai,+917160610438,Learner,ENT00058,Kuala Lumpur,UAE,Hindi,Full Stack,Expert,AI Engineer,Hands-on,99,39,2024-11-23
USR000044,Anaya,Jain,anaya.jain44@kaasdemo.ai,+917615447530,Trainer,ENT00398,Kuala Lumpur,India,Arabic,Full Stack,Intermediate,Digital Marketer,Mixed,39,78,2025-06-13
USR000045,Neha,Mishra,neha.mishra45@kaasdemo.ai,+919552445702,Learner,ENT00023,Mumbai,UK,Bengali,Governance,Beginner,Data Analyst,Social,74,22,2025-12-25
USR000046,Amit,Kulkarni,amit.kulkarni46@kaasdemo.ai,+918230797512,Learner,ENT00103,Delhi,UK,Bengali,Cybersecurity,Beginner,Cybersecurity Analyst,Reading,55,55,2024-09-07
USR000047,Aarav,Reddy,aarav.reddy47@kaasdemo.ai,+919359507540,Learner,ENT00278,Chennai,USA,Marathi,Full Stack,Advanced,Digital Marketer,Reading,44,59,2026-01-30
USR000048,Nikhil,Desai,nikhil.desai48@kaasdemo.ai,+919901232981,Learner,ENT00015,Pune,India,Gujarati,Finance,Beginner,Data Analyst,Hands-on,85,42,2026-05-04
USR000049,Meera,Chavan,meera.chavan49@kaasdemo.ai,+919647054211,Learner,,Chennai,USA,Kannada,Finance,Intermediate,Data Analyst,Hands-on,51,31,2026-04-28
USR000050,Ira,Iyer,ira.iyer50@kaasdemo.ai,+918998863011,Learner,,Ahmedabad,UAE,Tamil,HR,Intermediate,Cybersecurity Analyst,Audio,85,43,2026-04-29
USR000051,Anjali,Desai,anjali.desai51@kaasdemo.ai,+919093825472,Corporate Admin,,Pune,India,Bengali,Finance,Beginner,Product Manager,Hands-on,94,41,2025-02-26
USR000052,Amit,Pillai,amit.pillai52@kaasdemo.ai,+917459481183,Learner,ENT00053,Chennai,India,Telugu,Leadership,Expert,Business Analyst,Social,87,50,2026-02-07
USR000053,Ayaan,Verma,ayaan.verma53@kaasdemo.ai,+917894376014,Learner,ENT00034,Singapore,Malaysia,Gujarati,Full Stack,Advanced,Digital Marketer,Reading,44,93,2025-09-23
USR000054,Vihaan,Chavan,vihaan.chavan54@kaasdemo.ai,+918912189154,Learner,ENT00050,Bengaluru,USA,Gujarati,Quality Management,Beginner,Data Analyst,Mixed,83,61,2025-10-01
USR000055,Rahul,Patil,rahul.patil55@kaasdemo.ai,+919494379098,Learner,,Kuala Lumpur,India,Marathi,Project Management,Intermediate,Team Leader,Social,72,69,2026-02-02
USR000056,Saanvi,Nair,saanvi.nair56@kaasdemo.ai,+918287353440,Learner,,London,USA,Gujarati,Full Stack,Advanced,Data Analyst,Social,36,98,2025-10-17
